n,k,repetition,centers_compromised,expected_result,actual_result,matches_expected,time_seconds
10,10,5,7,Fail,Fail,True,0.008036999999603722
10,10,5,8,Fail,Fail,True,0.009859199999482371
10,10,5,9,Fail,Fail,True,0.011491100001876475
10,10,5,10,Decrypt,Decrypt,True,0.0135852999992494
10,10,6,0,Fail,Fail,True,6.000009307172149e-07
10,10,6,1,Fail,Fail,True,0.0006068999973649625
10,10,6,2,Fail,Fail,True,0.0015505000010307413
10,10,6,3,Fail,Fail,True,0.002466999998432584
10,10,6,4,Fail,Fail,True,0.00355919999856269
10,10,6,5,Fail,Fail,True,0.004806699998880504
10,10,6,6,Fail,Fail,True,0.006247799999982817
10,10,6,7,Fail,Fail,True,0.00789230000009411
10,10,6,8,Fail,Fail,True,0.009882400001515634
10,10,6,9,Fail,Fail,True,0.01198570000269683
10,10,6,10,Decrypt,Decrypt,True,0.013731900002312614
10,10,7,0,Fail,Fail,True,3.00002284348011e-07
10,10,7,1,Fail,Fail,True,0.0005956000022706576
10,10,7,2,Fail,Fail,True,0.0015129999992495868
10,10,7,3,Fail,Fail,True,0.002712400000746129
10,10,7,4,Fail,Fail,True,0.003570099997887155
10,10,7,5,Fail,Fail,True,0.00487020000218763
10,10,7,6,Fail,Fail,True,0.006271199999901
10,10,7,7,Fail,Fail,True,0.0077774000019417144
10,10,7,8,Fail,Fail,True,0.009529599999950733
10,10,7,9,Fail,Fail,True,0.011783699999796227
10,10,7,10,Decrypt,Decrypt,True,0.01379839999935939
10,10,8,0,Fail,Fail,True,1.6999983927235007e-06
10,10,8,1,Fail,Fail,True,0.0006472999994002748
10,10,8,2,Fail,Fail,True,0.0016292999971483368
10,10,8,3,Fail,Fail,True,0.0027031999998143874
10,10,8,4,Fail,Fail,True,0.003917699999874458
10,10,8,5,Fail,Fail,True,0.005121599999256432
10,10,8,6,Fail,Fail,True,0.007322100002056686
10,10,8,7,Fail,Fail,True,0.008505199999490287
10,10,8,8,Fail,Fail,True,0.013965999998617917
10,10,8,9,Fail,Fail,True,0.012732300001516705
10,10,8,10,Decrypt,Decrypt,True,0.014617900000303052
10,10,9,0,Fail,Fail,True,3.0000010156072676e-06
10,10,9,1,Fail,Fail,True,0.0006508999977086205
10,10,9,2,Fail,Fail,True,0.00160679999680724
10,10,9,3,Fail,Fail,True,0.0028037000010954216
10,10,9,4,Fail,Fail,True,0.004219900001771748
10,10,9,5,Fail,Fail,True,0.004923399999825051
10,10,9,6,Fail,Fail,True,0.007008299999142764
10,10,9,7,Fail,Fail,True,0.00806659999943804
10,10,9,8,Fail,Fail,True,0.009999499998230021
10,10,9,9,Fail,Fail,True,0.011750999998184852
10,10,9,10,Decrypt,Decrypt,True,0.013486700001521967
10,10,10,0,Fail,Fail,True,9.999967005569488e-07
10,10,10,1,Fail,Fail,True,0.0009170999983325601
10,10,10,2,Fail,Fail,True,0.0020017999995616265
10,10,10,3,Fail,Fail,True,0.002725599999394035
10,10,10,4,Fail,Fail,True,0.003820500001893379
10,10,10,5,Fail,Fail,True,0.004989300003217068
10,10,10,6,Fail,Fail,True,0.006448600001021987
10,10,10,7,Fail,Fail,True,0.007946400000946596
10,10,10,8,Fail,Fail,True,0.009671200001321267
10,10,10,9,Fail,Fail,True,0.011447400000179186
10,10,10,10,Decrypt,Decrypt,True,0.01349599999957718
